Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-facultative spinose,symbiont-obligate spinose,undetermined non-spinose
BS79-22,margo,3.18,38.231,14.23,0.324766355140187,0.261682242990654,0,0.00467289719626168,0.264018691588785,0,0.144859813084112,0
BS79-22,margo,3.21,38.231,14.23,0.312236286919831,0.244725738396625,0,0,0.282700421940928,0,0.160337552742616,0
BS79-22,margo,3.24,38.231,14.23,0.341232227488152,0.260663507109005,0,0,0.270142180094787,0,0.127962085308057,0
BS79-22,margo,3.27,38.231,14.23,0.347682119205298,0.205298013245033,0,0.0033112582781457,0.26158940397351,0,0.182119205298013,0
BS79-22,margo,3.3,38.231,14.23,0.263322884012539,0.250783699059561,0,0,0.29153605015674,0,0.19435736677116,0
BS79-22,margo,3.33,38.231,14.23,0.258064516129032,0.24633431085044,0,0.00293255131964809,0.304985337243402,0,0.187683284457478,0
BS79-22,margo,3.36,38.231,14.23,0.297560975609756,0.204878048780488,0,0,0.253658536585366,0,0.24390243902439,0
BS79-22,margo,3.39,38.231,14.23,0.322033898305085,0.216949152542373,0,0,0.247457627118644,0,0.213559322033898,0
BS79-22,margo,3.42,38.231,14.23,0.320388349514563,0.252427184466019,0,0,0.203883495145631,0,0.223300970873786,0
BS79-22,margo,3.45,38.231,14.23,0.407079646017699,0.176991150442478,0,0.0132743362831858,0.238938053097345,0,0.163716814159292,0
BS79-33,margo,3.25,38.157,14.018,0.380165289256198,0.245179063360882,0,0,0.225895316804408,0,0.148760330578512,0
BS79-33,margo,3.3,38.157,14.018,0.362017804154303,0.317507418397626,0,0,0.210682492581602,0,0.109792284866469,0
BS79-33,margo,3.35,38.157,14.018,0.33433734939759,0.316265060240964,0,0,0.147590361445783,0,0.201807228915663,0
BS79-33,margo,3.4,38.157,14.018,0.390625,0.315625,0,0,0.159375,0,0.134375,0
BS79-33,margo,3.45,38.157,14.018,0.342948717948718,0.349358974358974,0,0,0.137820512820513,0,0.169871794871795,0
BS79-33,margo,3.5,38.157,14.018,0.303206997084548,0.279883381924198,0,0,0.145772594752187,0,0.271137026239067,0
BS79-33,margo,3.55,38.157,14.018,0.302325581395349,0.348837209302326,0,0,0.188953488372093,0,0.159883720930233,0
BS79-33,margo,3.6,38.157,14.018,0.330578512396694,0.242424242424242,0,0,0.203856749311295,0,0.223140495867769,0
BS79-33,margo,3.65,38.157,14.018,0.320474777448071,0.293768545994065,0,0,0.186943620178042,0,0.198813056379822,0
BS79-33,margo,3.7,38.157,14.018,0.333333333333333,0.289473684210526,0,0,0.157894736842105,0,0.219298245614035,0
BS79-33,margo,3.75,38.157,14.018,0.34402332361516,0.26530612244898,0,0,0.224489795918367,0,0.166180758017493,0
BS79-33,margo,3.8,38.157,14.018,0.322259136212625,0.269102990033223,0,0,0.215946843853821,0,0.192691029900332,0
BS79-33,margo,3.85,38.157,14.018,0.275964391691395,0.329376854599407,0,0,0.267062314540059,0,0.13353115727003,0
BS79-37,margo,2.4,38.215,13.269,0.394904458598726,0.356687898089172,0,0.00424628450106157,0.152866242038217,0,0.0912951167728238,0
BS79-37,margo,2.44,38.215,13.269,0.295285359801489,0.28287841191067,0,0,0.315136476426799,0,0.106699751861042,0
BS79-37,margo,2.48,38.215,13.269,0.299019607843137,0.308823529411765,0,0,0.325980392156863,0,0.0661764705882353,0
BS79-38,margo,3.975,38.247,13.346,0.179166666666667,0.375,0,0,0.329166666666667,0,0.116666666666667,0
BS79-38,margo,4.025,38.247,13.346,0.227467811158798,0.356223175965665,0,0.00429184549356223,0.309012875536481,0,0.103004291845494,0
BS79-38,margo,4.05,38.247,13.346,0.228070175438597,0.357894736842105,0,0,0.333333333333333,0,0.0807017543859649,0
BS79-38,margo,4.075,38.247,13.346,0.229357798165138,0.334862385321101,0,0,0.344036697247706,0,0.091743119266055,0
BS79-38,margo,4.125,38.247,13.346,0.232067510548523,0.316455696202532,0,0,0.333333333333333,0,0.118143459915612,0
BS79-38,margo,4.175,38.247,13.346,0.167364016736402,0.343096234309623,0,0.00836820083682008,0.418410041841004,0,0.0627615062761506,0
BS79-38,margo,4.2,38.247,13.346,0.211267605633803,0.366197183098592,0,0,0.197183098591549,0,0.225352112676056,0
BS79-38,margo,4.225,38.247,13.346,0.0898203592814371,0.425149700598802,0,0.0029940119760479,0.305389221556886,0,0.176646706586826,0
BS79-38,margo,4.275,38.247,13.346,0.157894736842105,0.37246963562753,0,0,0.352226720647773,0,0.117408906882591,0
BS79-38,margo,4.325,38.247,13.346,0.15884476534296,0.40072202166065,0,0,0.328519855595668,0,0.111913357400722,0
BS79-38,margo,4.35,38.247,13.346,0.149006622516556,0.384105960264901,0,0,0.347682119205298,0,0.119205298013245,0
BS79-38,margo,4.375,38.247,13.346,0.160583941605839,0.364963503649635,0,0,0.31021897810219,0,0.164233576642336,0
BS79-38,margo,4.4,38.247,13.346,0.45514950166113,0.259136212624585,0,0,0.142857142857143,0,0.142857142857143,0
