Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-facultative spinose,symbiont-obligate spinose,undetermined non-spinose
RC08-078,forcens_lgm,0.5,-44.78333333,-175.7666667,69,94,0,0,106,0,12,0
RC08-145,forcens_lgm,35,33.569,-62.383,96,86,0,8,102,0,84,1
RC09-049,forcens_lgm,70,11.184,-58.585,33,21,0,17,66,0,300,0
RC09-049,forcens_lgm,85,11.184,-58.585,24,23,0,12,50,0,184,3
RC09-148,forcens_lgm,0.19,-29.68,113.7,8,14,0,1,209,0,116,0
RC09-150 (P),forcens_lgm,0.8,-31.28333333,114.5516667,35,28,0,11,181,0,46,0
RC09-150 (W),forcens_lgm,0.9,-31.28333333,114.5516667,19,29,0,0,218,0,23,0
RC09-161,forcens_lgm,1.6,19.56833333,59.595,12,89,0,8,105,1,85,0
RC09-162,forcens_lgm,0.5,19.07666667,60.42166667,10,66,0,9,122,0,95,0
RC09-225,forcens_lgm,135,54.968,-15.385,965,15,0,0,20,0,0,0
RC10-050,forcens_lgm,100,11.767,-81.086,22,2,0,6,67,0,216,0
RC10-11,forcens_lgm,20,-11.183,-162.917,4,10,0,64,341,0,549,0
RC10-131,forcens_lgm,0.3,-14.53,157.97,2,17,0,13,95,0,152,0
RC10-16,forcens_lgm,9,33.083,158,83,50,0,0,259,0,22,1
RC10-62,forcens_lgm,51,3.333,-101.717,13,10,0,3,175,0,29,0
RC10-97,forcens_lgm,44,0.917,-134.317,228,23,0,0,496,0,31,17
RC11-021,forcens_lgm,30,-17.252,-35.967,9,3,0,11,66,0,288,0
RC11-026,forcens_lgm,30,-28.583,-30.051,71,15,0,14,62,0,241,0
RC11-086,forcens_lgm,45,-35.78,18.45,224,34,0,2,103,0,40,0
RC11-120,forcens_lgm,0.74,-43.51666667,79.86666667,210,81,0,0,8,0,1,0
RC11-121,forcens_lgm,0.4,-39.71666667,82.25,94,124,0,0,44,0,39,0
RC11-126,forcens_lgm,0.2,-30.06666667,94.41666667,73,86,0,8,64,0,68,0
RC11-134,forcens_lgm,0.1,-33.06666667,110.55,47,88,0,3,106,1,57,0
RC11-145,forcens_lgm,0.29,-25.48333333,110.0166667,10,6,0,1,234,0,84,0
RC11-147,forcens_lgm,0.6,-19.05833333,112.75,27,14,0,35,119,0,106,0
RC11-210,forcens_lgm,40,1.817,-140.05,108,10,0,4,135,0,19,4
RC11-213,forcens_lgm,15,-6.133,-140.85,38,60,0,45,289,1,199,51
RC11-22,forcens_lgm,30,-14.817,-139.967,22,17,0,94,290,2,553,15
RC11-23,forcens_lgm,45,-8.8,-110.8,110,52,0,4,342,3,171,22
RC12-10,forcens_lgm,40,-26,169.2,142,106,0,10,341,0,640,0
RC12-109,forcens_lgm,0.4,-25.88333333,157.8666667,18,34,0,8,150,0,235,0
RC12-113 (A),forcens_lgm,0.5,-24.88,163.52,24,19,0,16,69,0,201,0
RC12-234,forcens_lgm,70,-55.135,-63.985,339,35,0,0,5,0,0,0
RC12-241,forcens_lgm,70,-43.467,-57.651,130,113,0,0,89,0,0,0
RC12-291,forcens_lgm,80,-42.584,-17.8,165,74,0,0,73,0,2,0
RC12-339,forcens_lgm,0.7,9.133333333,90.03333333,9,34,0,9,175,0,71,0
RC12-36,forcens_lgm,20,15.1,124.133,8,38,0,32,71,0,491,0
RC13-038,forcens_lgm,0.4,-14.51666667,177.1,10,19,0,20,169,0,305,0
RC13-11,forcens_lgm,50,-1.65,-103.633,286,31,0,1,242,0,24,2
RC13-151,forcens_lgm,60,15.851,-74.784,22,6,0,8,89,0,219,0
RC13-152,forcens_lgm,60,16.701,-75.435,9,3,0,6,46,0,235,0
RC13-158,forcens_lgm,80,13.169,-79.818,14,5,0,18,65,0,202,0
RC13-159,forcens_lgm,83,14.685,-77.167,19,5,0,15,97,0,261,0
RC13-17,forcens_lgm,30,19.083,-170.067,52,9,0,40,71,0,73,1
RC13-184,forcens_lgm,55,3.867,-43.3,45,1,0,0,52,0,275,0
RC13-189,forcens_lgm,67.5,1.867,-30,93,11,0,4,101,0,127,0
RC13-197,forcens_lgm,110,4.517,-0.718,130,51,0,7,65,0,187,0
RC13-205,forcens_lgm,50,-2.284,5.183,102,10,0,8,111,0,106,0
RC13-210,forcens_lgm,40,-9.135,-10.601,73,12,0,3,112,0,171,0
RC13-227,forcens_lgm,40,-21.869,8.868,235,49,0,0,62,0,20,0
RC13-81,forcens_lgm,10,-19.017,-124.233,105,46,0,53,649,3,1228,38
RC13110,forcens_lgm,54,0.1,-95.65,36,33,0,0,249,0,16,0
RC13115,forcens_lgm,61,-1.633,-104.833,28,26,0,0,287,0,28,2
RC14-007,forcens_lgm,0.25,-35.51666667,44.75,85,50,0,0,123,0,44,0
RC14-009,forcens_lgm,0.7,-39.01666667,47.88333333,146,103,0,1,44,0,7,0
RC14-029,forcens_lgm,0.2,-10.92333333,88.315,15,9,0,20,125,0,130,3
RC14-035,forcens_lgm,0.4,-0.833333333,89.95,13,21,0,6,126,0,120,14
RC14-037,forcens_lgm,0.4,1.466666667,90.16666667,8,20,0,14,126,1,122,10
RC14-039,forcens_lgm,70,5.85,90.517,21,52,0,9,248,0,140,14
