Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Absolute Abundance
E-35,,19.16266667,-94.535,1182,North Atlantic,,undetermined,non-spinose,5
E-37,,18.961,-94.50916667,786,North Atlantic,,symbiont-barren,non-spinose,195
E-37,,18.961,-94.50916667,786,North Atlantic,,symbiont-barren,spinose,56
E-37,,18.961,-94.50916667,786,North Atlantic,,symbiont-bearing,non-spinose,1
E-37,,18.961,-94.50916667,786,North Atlantic,,symbiont-bearing,spinose,1
E-37,,18.961,-94.50916667,786,North Atlantic,,symbiont-facultative,non-spinose,26
E-37,,18.961,-94.50916667,786,North Atlantic,,symbiont-facultative,spinose,0
E-37,,18.961,-94.50916667,786,North Atlantic,,symbiont-obligate,spinose,536
E-37,,18.961,-94.50916667,786,North Atlantic,,undetermined,non-spinose,1
E26-001,,-40.28333333,168.34,914,Pacific,0.61,symbiont-barren,non-spinose,104
E26-001,,-40.28333333,168.34,914,Pacific,0.61,symbiont-barren,spinose,142
E26-001,,-40.28333333,168.34,914,Pacific,0.61,symbiont-bearing,non-spinose,0
E26-001,,-40.28333333,168.34,914,Pacific,0.61,symbiont-bearing,spinose,0
E26-001,,-40.28333333,168.34,914,Pacific,0.61,symbiont-facultative,non-spinose,69
E26-001,,-40.28333333,168.34,914,Pacific,0.61,symbiont-facultative,spinose,0
E26-001,,-40.28333333,168.34,914,Pacific,0.61,symbiont-obligate,spinose,3
E26-001,,-40.28333333,168.34,914,Pacific,0.61,undetermined,non-spinose,0
E27-030,,-45.0667,147.2283,3552,Pacific,0.6,symbiont-barren,non-spinose,103
E27-030,,-45.0667,147.2283,3552,Pacific,0.6,symbiont-barren,spinose,137
E27-030,,-45.0667,147.2283,3552,Pacific,0.6,symbiont-bearing,non-spinose,0
E27-030,,-45.0667,147.2283,3552,Pacific,0.6,symbiont-bearing,spinose,0
E27-030,,-45.0667,147.2283,3552,Pacific,0.6,symbiont-facultative,non-spinose,71
E27-030,,-45.0667,147.2283,3552,Pacific,0.6,symbiont-facultative,spinose,0
E27-030,,-45.0667,147.2283,3552,Pacific,0.6,symbiont-obligate,spinose,5
E27-030,,-45.0667,147.2283,3552,Pacific,0.6,undetermined,non-spinose,0
