Core,CoringDevice,Latitude,Longitude,WaterDepth_m,Ocean,SampleLabel,SampleDepthTop_m,SampleDepthBottom_m,SampleDepthMid_m,CalendarAge_cal_ky_BP,ChronozoneLevel,SedimentationRate_cm_ky,Laboratory,Publication,ChronologySource,AddedBy,DateOfAddition,Source,TaxonomicNotes,Count,QCNote,Dentigloborotalia_anfracta,Globorotalia_cavernula,Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii,Globorotalia_scitula,Globorotalia_truncatulinoides,Globorotalia_tumida,Globorotalia_ungulata,Globorotalia_theyeri,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globoquadrina_conglomerata,Globorotaloides_hexagonus,Berggrenia_pumilio,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Trilobatus_sacculifer,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Globigerinella_adamsi,Turborotalita_quinqueloba,Turborotalita_humilis,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Candeina_nitida,Globigerinita_glutinata,Globigerinita_uvula,Globigerinita_minuta,Tenuitella_iota,Hastigerina_pelagica,Hastigerinella_digitata,Globorotalia_menardii_Globorotalia_tumida,Globigerinoides_ruber_Globigerinoides_white,Turborotalita_humilis_Berggrenia_pumilio,Globorotalia_truncatulinoides_dextral_coiling,Globorotalia_truncatulinoides_sinistral_coiling,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,Turborotalita_quinqueloba_dextral_coiling,Turborotalita_quinqueloba_sinistral_coiling,unidentified,siteID,sampleID,isCounts,inMARGO
PS2887-1,NA,79.6,-4.6077,1411,North Atlantic,NA,0.5,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,3.2,96.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0008,LGM_0008_1,FALSE,TRUE
PS2887-1,NA,79.6,-4.6077,1411,North Atlantic,NA,0.52,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,2.3,97.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0008,LGM_0008_2,FALSE,TRUE
PS2887-1,NA,79.6,-4.6077,1411,North Atlantic,NA,0.56,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,2.2,97.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0008,LGM_0008_3,FALSE,TRUE
PS1230-1,NA,78.8553,-4.7812,1249,North Atlantic,NA,0.24,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,1.4,98.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0009,LGM_0009_1,FALSE,TRUE
PS1230-1,NA,78.8553,-4.7812,1249,North Atlantic,NA,0.26,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,1.8,98.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0009,LGM_0009_2,FALSE,TRUE
GIK17725-1,NA,77.46,4.58,2577,North Atlantic,NA,0.3,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,3.6,95.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0010,LGM_0010_1,FALSE,TRUE
GIK17724-2,NA,76,8.3333,2354,North Atlantic,NA,0.47,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,2,97.8,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0011,LGM_0011_1,FALSE,TRUE
GIK17724-2,NA,76,8.3333,2354,North Atlantic,NA,0.53,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,3.1,96.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0011,LGM_0011_2,FALSE,TRUE
GIK17724-2,NA,76,8.3333,2354,North Atlantic,NA,0.57,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,2.8,97,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0011,LGM_0011_3,FALSE,TRUE
GIK17724-2,NA,76,8.3333,2354,North Atlantic,NA,0.58,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,2.8,97.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0011,LGM_0011_4,FALSE,TRUE
